BIOME_NAME,REALM,ECO_NAME,ECO_ID,flow_name,leaf,leaf_median,leaf_std
Tropical & Subtropical Moist Broadleaf Forests,Australasia,Admiralty Islands lowland rain forests,135,Barley_rf_ron_rt,,,
"Mediterranean Forests, Woodlands & Scrub",Palearctic,Aegean and Western Turkey sclerophyllous and mixed forests,785,Barley_rf_ron_rt,5.387817859649658,3.910268545150757,4.863151550292969
Deserts & Xeric Shrublands,Palearctic,Afghan Mountains semi-desert,807,Barley_rf_ron_rt,2.773447036743164,1.7999290227890017,4.479747295379639
"Temperate Grasslands, Savannas & Shrublands",Palearctic,Al-Hajar foothill xeric woodlands and shrublands,722,Barley_rf_ron_rt,,,
"Temperate Grasslands, Savannas & Shrublands",Palearctic,Al-Hajar montane woodlands and shrublands,723,Barley_rf_ron_rt,,,
"Temperate Grasslands, Savannas & Shrublands",Palearctic,Alai-Western Tian Shan steppe,721,Barley_rf_ron_rt,0.5519020557403564,0.2699095904827118,0.8525703549385071
Deserts & Xeric Shrublands,Palearctic,Alashan Plateau semi-desert,808,Barley_rf_ron_rt,0.8628671765327454,0.4140556454658508,1.116632342338562
Boreal Forests/Taiga,Nearctic,Alaska Peninsula montane taiga,369,Barley_rf_ron_rt,,,
"Mediterranean Forests, Woodlands & Scrub",Afrotropic,Albany thickets,88,Barley_rf_ron_rt,3.2679059505462646,2.146228790283203,3.155723810195923
Temperate Conifer Forests,Nearctic,Alberta-British Columbia foothills forests,345,Barley_rf_ron_rt,0.3470609188079834,0.2503841519355774,0.3374786674976349
Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,Albertine Rift montane forests,1,Barley_rf_ron_rt,30.075401306152344,21.63327407836914,26.43341827392578
Deserts & Xeric Shrublands,Afrotropic,Aldabra Island xeric scrub,91,Barley_rf_ron_rt,,,
Temperate Broadleaf & Mixed Forests,Nearctic,Allegheny Highlands forests,328,Barley_rf_ron_rt,6.141735553741455,4.132969379425049,5.299711227416992
Temperate Conifer Forests,Palearctic,Alps conifer and mixed forests,689,Barley_rf_ron_rt,15.37778377532959,13.679479598999023,10.19714641571045
Montane Grasslands & Shrublands,Palearctic,Altai alpine meadow and tundra,749,Barley_rf_ron_rt,2.006249189376831,1.1630803346633911,1.926825761795044
Temperate Conifer Forests,Palearctic,Altai montane forest and forest steppe,690,Barley_rf_ron_rt,2.527677059173584,2.0483477115631104,2.085806608200073
"Temperate Grasslands, Savannas & Shrublands",Palearctic,Altai steppe and semi-desert,724,Barley_rf_ron_rt,0.9671223163604736,0.4065295457839966,1.2457455396652222
